<PRE>                                                                                      
                                                                 Fant             Fant
Rk                    Player FantPt Season Age Team G GS FantPt   PPR FantPt PPR/G Pos
1                 Josh Allen   98.5   2025  29  BUF 4  4   98.5  98.5  24.63 24.63  QB
2           Matthew Stafford   97.7   2025  37  LAR 5  5   97.7  97.7  19.54 19.54  QB
3              Lamar Jackson   93.4   2025  28  BAL 4  4   93.4  93.4  23.35 23.35  QB
4            Patrick Mahomes   88.6   2025  30  KAN 4  4   88.6  88.6  22.15 22.15  QB
5        Christian McCaffrey   84.9   2025  29  SFO 5  5   84.9 123.9  16.98 24.78  RB
6                Jalen Hurts   84.3   2025  27  PHI 4  4   84.3  84.3  21.08 21.08  QB
7                 Drake Maye   83.5   2025  23  NWE 4  4   83.5  84.5  20.88 21.13  QB
8             Caleb Williams   82.1   2025  24  CHI 4  4   82.1  82.1  20.53 20.53  QB
9                 Puka Nacua   82.0   2025  24  LAR 5  5   82.0 134.0  16.40 26.80  WR
10            Baker Mayfield   79.1   2025  30  TAM 4  4   79.1  79.1  19.78 19.78  QB
11                James Cook   79.0   2025  26  BUF 4  4   79.0  91.0  19.75 22.75  RB
12              Daniel Jones   78.5   2025  28  IND 4  4   78.5  78.5  19.63 19.63  QB
13           Jonathan Taylor   76.7   2025  26  IND 4  4   76.7  89.7  19.18 22.43  RB
14               Jordan Love   74.2   2025  27  GNB 4  4   74.2  74.2  18.55 18.55  QB
15            Justin Herbert   73.8   2025  27  LAC 4  4   73.8  73.8  18.45 18.45  QB
16              Dak Prescott   73.0   2025  32  DAL 4  4   73.0  73.0  18.25 18.25  QB
17            Bijan Robinson   70.4   2025  23  ATL 4  4   70.4  88.4  17.60 22.10  RB
18                Jared Goff   70.3   2025  31  DET 4  4   70.3  70.3  17.58 17.58  QB
19            Kyren Williams   68.6   2025  25  LAR 5  5   68.6  84.6  13.72 16.92  RB
20         Amon-Ra St. Brown   67.4   2025  26  DET 4  4   67.4  94.4  16.85 23.60  WR
21                    Bo Nix   66.2   2025  25  DEN 4  4   66.2  66.2  16.55 16.55  QB
22               Josh Jacobs   62.5   2025  27  GNB 4  4   62.5  72.5  15.63 18.13  RB
