<PRE>                                                                                         
                                                                    Fant             Fant
Rk                      Player FantPt Season Age   Team G GS FantPt  PPR FantPt PPR/G Pos
201           Sterling Shepard   17.3   2025  32    TAM 4  1   17.3 30.3   4.33  7.58  WR
202             Rashod Bateman   17.2   2025  26    BAL 4  3   17.2 27.2   4.30  6.80  WR
203              Dylan Sampson   17.2   2025  21    CLE 4  1   17.2 28.2   4.30  7.05  RB
204                Alec Pierce   17.1   2025  25    IND 3  3   17.1 26.1   5.70  8.70  WR
205          Parker Washington   16.9   2025  23    JAX 4  1   16.9 25.9   4.23  6.48  WR
206                Davis Allen   16.8   2025  24    LAR 5  0   16.8 22.8   3.36  4.56  TE
207           Malik Washington   16.7   2025  24    MIA 4  2   16.7 24.7   4.18  6.18  WR
208              Luther Burden   16.6   2025  22    CHI 4  0   16.6 23.6   4.15  5.90  WR
209           Jeremy McNichols   16.6   2025  30    WAS 4  0   16.6 17.6   4.15  4.40  RB
210              Harold Fannin   16.4   2025  21    CLE 4  3   16.4 33.4   4.10  8.35  TE
211                Rico Dowdle   16.3   2025  27    CAR 4  0   16.3 21.3   4.08  5.33  RB
212               Mack Hollins   16.2   2025  32    NWE 4  3   16.2 23.2   4.05  5.80  WR
213                Cooper Kupp   16.2   2025  32    SEA 4  4   16.2 31.2   4.05  7.80  WR
214                Hunter Long   16.1   2025  27    JAX 4  0   16.1 22.1   4.03  5.53  TE
215                 Joe Burrow   15.9   2025  29    CIN 2  2   15.9 15.9   7.95  7.95  QB
216             Matthew Golden   15.5   2025  22    GNB 4  2   15.5 26.5   3.88  6.63  WR
217               Zavier Scott   15.4   2025  26    MIN 3  0   15.4 22.4   5.13  7.47  RB
218                Aaron Jones   15.0   2025  31    MIN 2  2   15.0 18.0   7.50  9.00  RB
219              Kyle Juszczyk   15.0   2025  34    SFO 5  5   15.0 25.0   3.00  5.00  FB
220             Jayden Higgins   14.9   2025  23    HOU 4  2   14.9 19.9   3.73  4.98  WR
221             Terry McLaurin   14.9   2025  30    WAS 3  3   14.9 24.9   4.97  8.30  WR
222               Elijah Moore   14.9   2025  25    BUF 4  1   14.9 18.9   3.73  4.73  WR
223              Darren Waller   14.7   2025  33    MIA 1  0   14.7 17.7  14.70 17.70  TE
224              Calvin Ridley   14.1   2025  31    TEN 4  4   14.1 24.1   3.53  6.03  WR
225              Tommy Tremble   14.0   2025  25    CAR 4  3   14.0 25.0   3.50  6.25  TE
226          Olamide Zaccheaus   14.0   2025  28    CHI 4  1   14.0 28.0   3.50  7.00  WR
227                Josh Palmer   13.8   2025  26    BUF 4  1   13.8 23.8   3.45  5.95  WR
228             Darius Slayton   13.5   2025  28    NYG 4  3   13.5 22.5   3.38  5.63  WR
229              Braelon Allen   13.3   2025  21    NYJ 4  0   13.3 15.3   3.33  3.83  RB
230                Jonnu Smith   13.1   2025  30    PIT 4  1   13.1 27.1   3.28  6.78  TE
231                David Njoku   12.8   2025  29    CLE 4  4   12.8 26.8   3.20  6.70  TE
232               Theo Johnson   12.6   2025  24    NYG 4  4   12.6 21.6   3.15  5.40  TE
233             Dalton Schultz   12.6   2025  29    HOU 4  3   12.6 28.6   3.15  7.15  TE
234               Ollie Gordon   12.4   2025  21    MIA 4  0   12.4 14.4   3.10  3.60  RB
235          Chigoziem Okonkwo   12.4   2025  26    TEN 4  4   12.4 25.4   3.10  6.35  TE
236           Tyrone Tracy Jr.   12.2   2025  26    NYG 3  2   12.2 20.2   4.07  6.73  RB
237                 Josh Downs   12.1   2025  24    IND 4  2   12.1 26.1   3.03  6.53  WR
238              Jalen Tolbert   12.1   2025  26    DAL 4  3   12.1 22.1   3.03  5.53  WR
239              Xavier Worthy   12.1   2025  22    KAN 2  2   12.1 17.1   6.05  8.55  WR
240                  Noah Fant   12.0   2025  28    CIN 3  2   12.0 24.0   4.00  8.00  TE
241              Travis Hunter   11.8   2025  22    JAX 4  1   11.8 24.8   2.95  6.20  WR
242            Adonai Mitchell   11.7   2025  23    IND 4  1   11.7 18.7   2.93  4.68  WR
243              Kalif Raymond   11.6   2025  31    DET 4  2   11.6 17.6   2.90  4.40  WR
244             Jordan Addison   11.4   2025  23    MIN 1  1   11.4 15.4  11.40 15.40  WR
245              Jackson Hawes   11.4   2025  25    BUF 4  1   11.4 15.4   2.85  3.85  TE
246           Dontayvion Wicks   11.4   2025  24    GNB 4  3   11.4 21.4   2.85  5.35  WR
247         Brian Robinson Jr.   11.1   2025  26    SFO 5  0   11.1 13.1   2.22  2.62  RB
248             Emanuel Wilson   11.0   2025  26    GNB 4  0   11.0 14.0   2.75  3.50  RB
249               Mason Taylor   10.8   2025  21    NYJ 4  3   10.8 21.8   2.70  5.45  TE
250              Adam Trautman   10.7   2025  28    DEN 4  3   10.7 16.7   2.68  4.18  TE
251                Jayden Reed   10.5   2025  25    GNB 2  1   10.5 13.5   5.25  6.75  WR
252             Jeremy Ruckert   10.4   2025  25    NYJ 4  4   10.4 14.4   2.60  3.60  TE
253               Isaac TeSlaa   10.2   2025  23    DET 4  1   10.2 12.2   2.55  3.05  WR
254             Mitchell Evans   10.1   2025  22    CAR 4  0   10.1 15.1   2.53  3.78  TE
255         Jordan Whittington   10.1   2025  25    LAR 5  2   10.1 17.1   2.02  3.42  WR
256              Austin Hooper   10.0   2025  31    NWE 4  3   10.0 17.0   2.50  4.25  TE
257            Brycen Tremayne    9.9   2025  26    CAR 4  1    9.9 17.9   2.48  4.48  WR
258              Tylan Wallace    9.9   2025  26    BAL 4  1    9.9 12.9   2.48  3.23  WR
259              Brandin Cooks    9.8   2025  32    NOR 4  1    9.8 20.8   2.45  5.20  WR
