"event_category","event_name","event_sort_order","max_attempt","measurement_type","ribbon_places","sportoption","uses_stakes","Creation Date","unique id"
"Field","Shot Put","1","3","Distance","6","1754181255196x388986311669203840","yes","Aug 6, 2025 7:07 pm","1754525252846x428396594519322700"
"Track","100m Dash","2","1","Time","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:08 pm","1754525327790x301165369722352450"
"Field","Long Jump","3","3","Distance","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:11 pm","1754525477436x974619504023812600"
"Track","Discus","4","3","Distance","6","1754181255196x388986311669203840","yes","Aug 6, 2025 7:12 pm","1754525522161x333982421821710900"
"Field","Javelin","5","3","Distance","6","1754181255196x388986311669203840","yes","Aug 6, 2025 7:27 pm","1754526456176x609267150155708900"
"Field","Hammer Throw","6","3","Distance","6","1754181255196x388986311669203840","yes","Aug 6, 2025 7:28 pm","1754526491425x793685271873480000"
"Field","High Jump","7","3","Distance","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:29 pm","1754526545482x107871578488504030"
"Field","Pole Vault","8","3","Height","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:30 pm","1754526600300x907783532684276900"
"Field","Triple Jump","9","3","Distance","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:30 pm","1754526632846x602840504869139800"
"Track","200m Dash","10","1","Time","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:31 pm","1754526697438x872362739342171800"
"Track","400m Dash","11","1","Time","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:32 pm","1754526729029x592096268799294600"
"Track","800m Run","12","1","Time","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:32 pm","1754526767308x864096447544862200"
"Track","1600m Run","13","","Time","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:33 pm","1754526801118x303917532293495940"
"Track","3200m Run","14","1","Time","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:33 pm","1754526839884x521103306648793800"
"Track","110m Hurdles Men's","15","1","Time","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:38 pm","1754527107138x306803635363987300"
"Track","100m Hurdles Women's","16","1","Time","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:39 pm","1754527156022x553588457877294460"
"Track","300m Hurdles Men's","17","1","Time","8","1754181255196x388986311669203840","no","Aug 6, 2025 7:40 pm","1754527239642x391329930187386240"
"Track","300m Hurdles Women's","18","1","Time","6","1754181255196x388986311669203840","no","Aug 6, 2025 7:41 pm","1754527292747x128267671814441760"
"Relay","4X100m Relay","19","1","Time","6","","no","Aug 6, 2025 7:44 pm","1754527449828x601639225067952300"
"Relay","4x200m Relay","20","1","Time","6","","no","Aug 6, 2025 7:45 pm","1754527522608x872533380674950400"
"Relay","4x400m Relay","21","1","Time","6","","no","Aug 6, 2025 7:46 pm","1754527572631x456524382792572000"
