"sport_category","sport_name","sport_sort_order","sport_subcategory","Creation Date","Modified Date","Slug","unique id"
"1754106388289x383805117761464300","EA sports FIFA","10","Sports Simulation ","Aug 2, 2025 9:50 am","Aug 2, 2025 9:50 am","","1754146236894x969611119648729100"
"1754106388289x383805117761464300","EA Sports Madden NFL","11","Sports Simulation","Aug 2, 2025 9:51 am","Aug 2, 2025 9:51 am","","1754146313686x559170358439976060"
"1754106388289x383805117761464300","EA Sports NHL","13","Sports Simulation","Aug 2, 2025 9:53 am","Aug 2, 2025 9:53 am","","1754146384127x269834773166099260"
"1754106388289x383805117761464300","EA Sports NBA 2K","12","Sports Simulation","Aug 2, 2025 9:54 am","Aug 2, 2025 9:54 am","","1754146453084x227598922736008220"
"1754106388289x383805117761464300","EA Sports UFC","14","Sports Simulation","Aug 2, 2025 9:55 am","Aug 2, 2025 9:55 am","","1754146509970x356692922667680500"
"1754106388289x383805117761464300","MLB The Show","15","Sports Simulation ","Aug 2, 2025 9:56 am","Aug 2, 2025 9:56 am","","1754146562794x180236939683352740"
"1753907759981x546774752330226900","Basketball","1","","Aug 2, 2025 7:29 pm","Aug 2, 2025 7:29 pm","","1754180946865x898161729538192500"
"1753907759981x546774752330226900","Soccer","2","","Aug 2, 2025 7:29 pm","Aug 2, 2025 7:29 pm","","1754180977955x395946833660146800"
"1753907759981x546774752330226900","Football ","3","","Aug 2, 2025 7:30 pm","Aug 2, 2025 7:30 pm","","1754181015919x333498357441713860"
"1753907759981x546774752330226900","Baseball","4","","Aug 2, 2025 7:30 pm","Aug 2, 2025 7:30 pm","","1754181045083x805711011594288300"
"1753907759981x546774752330226900","Volleyball","5","","Aug 2, 2025 7:31 pm","Aug 2, 2025 7:31 pm","","1754181078795x479474386340166000"
"1753907823621x983678515921424100","Golf","1","","Aug 2, 2025 7:33 pm","Aug 2, 2025 7:33 pm","","1754181187121x526423864176922750"
"1753907823621x983678515921424100","Tennis","2","","Aug 2, 2025 7:33 pm","Aug 2, 2025 9:27 pm","","1754181223028x396723622458883260"
"1753907823621x983678515921424100","Track & Field(Sprints, Distance, Field Events)","1","","Aug 2, 2025 7:34 pm","Aug 6, 2025 11:19 pm","","1754181255196x388986311669203840"
"1753907823621x983678515921424100","Swimming (Freestyle, Backstroke, Butterfly, Medley)","4","","Aug 2, 2025 7:34 pm","Aug 2, 2025 7:42 pm","","1754181287630x265470261364728830"
